#start
#stop
# omega	 amplitude	 phase
97.5465	0.000120746	-1.89494
97.7035	0.000119692	2.75996
97.8606	0.000119977	1.12822
98.0177	0.000120643	-0.492077
98.1748	0.000119903	-2.10938
98.3319	0.000118824	2.54443
98.4889	0.000119241	0.912431
98.646	0.000119935	-0.706672
98.8031	0.000119047	-2.32362
98.9602	0.000117918	2.32882
99.1172	0.000118499	0.696188
99.2743	0.000119276	-0.921523
99.4314	0.000118225	-2.53764
99.5885	0.000116991	2.11324
99.7456	0.000117765	0.479426
99.9026	0.000118714	-1.13664
100.06	0.000117494	-2.75096
100.217	0.000116029	1.89862
100.374	0.000116931	0.262651
100.531	0.00011813	-1.35244
100.688	0.000116817	-2.96451
100.845	0.000115084	1.68423
101.002	0.000116076	0.0456604
101.159	0.000117593	-1.56875
101.316	0.000116243	3.10535
101.473	0.000114154	1.47084
101.631	0.000115123	-0.170993
101.788	0.000116999	-1.78576
101.945	0.000115728	2.89147
102.102	0.000113279	1.25777
102.259	0.000114136	-0.387459
102.416	0.000116389	-2.00337
102.573	0.000115303	2.67715
102.73	0.000112495	1.04537
102.887	0.00011311	-0.603149
103.044	0.000115707	-2.22125
103.201	0.000114913	2.46223
103.358	0.000111789	0.833334
103.515	0.000112048	-0.818092
103.673	0.000114927	-2.43946
103.83	0.000114538	2.24621
103.987	0.000111219	0.621062
104.144	0.000111055	-1.03208
104.301	0.000114087	-2.65707
104.458	0.000114104	2.02989
104.615	0.000110675	0.408415
104.772	0.000110093	-1.24589
104.929	0.000113229	-2.87462
105.086	0.00011367	1.81325
105.243	0.000110179	0.19573
105.4	0.000109139	-1.45928
105.558	0.000112326	-3.09225
105.715	0.000113243	1.59597
105.872	0.000109772	-0.0171261
106.029	0.000108233	-1.6719
106.186	0.000111363	2.97372
106.343	0.000112771	1.37816
106.5	0.00010943	-0.230441
106.657	0.00010739	-1.88391
106.814	0.000110344	2.75706
106.971	0.000112222	1.15985
107.128	0.000109127	-0.444659
107.285	0.000106653	-2.09582
107.442	0.000109345	2.5411
107.6	0.000111624	0.941669
107.757	0.000108817	-0.659279
107.914	0.000105959	-2.30776
108.071	0.000108355	2.32533
108.228	0.000111026	0.723293
108.385	0.000108566	-0.874045
108.542	0.000105324	-2.51894
108.699	0.000107303	2.11047
108.856	0.000110303	0.504662
109.013	0.000108286	-1.08998
109.17	0.000104783	-2.73075
109.327	0.000106326	1.89592
109.485	0.000109597	0.286265
109.642	0.000108039	-1.30581
109.799	0.000104276	-2.94184
109.956	0.000105271	1.68221
110.113	0.000108752	0.067402
110.27	0.000107771	-1.52317
110.427	0.000103905	3.12952
110.584	0.000104307	1.46927
110.741	0.000107861	-0.151016
110.898	0.000107473	-1.74119
111.055	0.000103635	2.91717
111.212	0.000103437	1.25719
111.369	0.000106929	-0.368602
111.527	0.00010711	-1.95948
111.684	0.00010341	2.70432
111.841	0.000102632	1.04576
111.998	0.000105938	-0.58544
112.155	0.000106648	-2.1782
112.312	0.000103208	2.49044
112.469	0.000101931	0.834392
112.626	0.000104962	-0.801566
112.783	0.000106133	-2.3969
112.94	0.000103024	2.27601
113.097	0.000101307	0.623337
113.254	0.000103968	-1.0168
113.411	0.000105517	-2.61558
113.569	0.000102806	2.06064
