#start
#stop
# omega	 amplitude	 phase
67.5442	4.93336e-08	-2.35619
67.7013	4.67818e-08	-2.43473
67.8584	4.43565e-08	-2.51327
68.0155	4.20518e-08	-2.59181
68.1726	3.98619e-08	-2.67035
68.3296	3.77814e-08	-2.74889
68.4867	3.58051e-08	-2.82743
68.6438	3.39279e-08	-2.90597
68.8009	3.21452e-08	-2.98451
68.958	3.04524e-08	-3.06305
69.115	2.88452e-08	-3.14159
69.2721	2.73195e-08	3.06305
69.4292	2.58713e-08	2.98451
69.5863	2.44968e-08	2.90597
69.7434	2.31924e-08	2.82743
69.9004	2.19549e-08	2.74889
70.0575	2.07808e-08	2.67035
70.2146	1.9667e-08	2.59181
70.3717	1.86107e-08	2.51327
70.5288	1.76089e-08	2.43473
70.6858	1.6659e-08	2.35619
70.8429	1.57583e-08	2.27765
71	1.49046e-08	2.19912
71.1571	1.40953e-08	2.12058
71.3142	1.33284e-08	2.04204
71.4712	1.26016e-08	1.9635
71.6283	1.1913e-08	1.88496
71.7854	1.12606e-08	1.80642
71.9425	1.06426e-08	1.72788
72.0996	1.00573e-08	1.64934
72.2566	9.50306e-09	1.5708
72.4137	8.97823e-09	1.49226
72.5708	8.48133e-09	1.41372
72.7279	8.01094e-09	1.33518
72.8849	7.56571e-09	1.25664
73.042	7.14434e-09	1.1781
73.1991	6.74561e-09	1.09956
73.3562	6.36835e-09	1.02102
73.5133	6.01144e-09	0.942478
73.6703	5.67384e-09	0.863938
73.8274	5.35453e-09	0.785398
73.9845	5.05257e-09	0.706858
74.1416	4.76705e-09	0.628318
74.2987	4.49712e-09	0.549779
74.4557	4.24194e-09	0.471239
74.6128	4.00075e-09	0.392699
74.7699	3.77281e-09	0.314159
74.927	3.55741e-09	0.235619
75.0841	3.3539e-09	0.157079
75.2411	3.16164e-09	0.0785394
75.3982	2.98004e-09	-5.37436e-07
75.5553	2.80852e-09	-0.0785404
75.7124	2.64654e-09	-0.15708
75.8695	2.4936e-09	-0.23562
76.0265	2.34921e-09	-0.31416
76.1836	2.2129e-09	-0.3927
76.3407	2.08425e-09	-0.47124
76.4978	1.96283e-09	-0.54978
76.6549	1.84826e-09	-0.62832
76.8119	1.74017e-09	-0.70686
76.969	1.63819e-09	-0.7854
77.1261	1.542e-09	-0.863939
77.2832	1.45127e-09	-0.942479
77.4403	1.36572e-09	-1.02102
77.5973	1.28505e-09	-1.09956
77.7544	1.209e-09	-1.1781
77.9115	1.13731e-09	-1.25664
78.0686	1.06973e-09	-1.33518
78.2257	1.00605e-09	-1.41372
78.3827	9.46044e-10	-1.49226
78.5398	8.89506e-10	-1.5708
78.6969	8.36244e-10	-1.64934
78.854	7.86073e-10	-1.72788
79.0111	7.38822e-10	-1.80642
79.1681	6.94325e-10	-1.88496
79.3252	6.52428e-10	-1.9635
79.4823	6.12983e-10	-2.04204
79.6394	5.75852e-10	-2.12058
79.7965	5.40903e-10	-2.19912
79.9535	5.08013e-10	-2.27765
80.1106	4.77064e-10	-2.35619
80.2677	4.47945e-10	-2.43473
80.4248	4.20551e-10	-2.51327
80.5819	3.94784e-10	-2.59181
80.7389	3.7055e-10	-2.67035
80.896	3.47761e-10	-2.74889
81.0531	3.26333e-10	-2.82743
81.2102	3.06188e-10	-2.90597
81.3672	2.8725e-10	-2.98451
81.5243	2.69451e-10	-3.06305
81.6814	2.52723e-10	-3.14159
81.8385	2.37005e-10	3.06306
81.9956	2.22237e-10	2.98452
82.1526	2.08363e-10	2.90598
